graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"email-Eu-core-temporal","332335","1","559","1733","6.048","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","559","1733","0.174","0","1.4814e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","624","2762","6.01","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","624","2762","0.17","0","1.138e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","653","3489","5.694","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","653","3489","0.5","0","1.2445e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","682","4129","6.778","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","682","4129","0.204","0","1.6959e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","696","4589","6.525","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","696","4589","0.2","0","2.2459e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","710","5130","5.409","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","710","5130","0.201","0","2.6796e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","722","5577","5.279","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","722","5577","0.199","0","2.473e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","733","6067","5.266","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","733","6067","0.2","0","1.0396e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","741","6512","6.35","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","741","6512","0.199","0","1.4453e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","751","6952","6.342","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","751","6952","0.207","0","3.6199e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","762","7437","6.378","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","762","7437","1.495","0","0.0000017506","pagerankDynamic"
"email-Eu-core-temporal","332335","1","775","8029","6.354","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","775","8029","0.207","0","1.2974e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","779","8418","3.119","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","779","8418","0.201","0","4.3408e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","781","8747","3.113","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","781","8747","1.277","0","0.0000018135","pagerankDynamic"
"email-Eu-core-temporal","332335","1","785","9031","3.118","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","785","9031","0.201","0","3.7122e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","789","9386","3.117","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","789","9386","0.2","0","3.6106e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","794","9710","3.006","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","794","9710","0.208","0","4.3129e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","795","10017","3.115","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","795","10017","0.201","0","3.8187e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","797","10276","3.235","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","797","10276","0.2","0","2.9977e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","802","10532","3.227","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","802","10532","0.199","0","3.3688e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","805","10785","3.216","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","805","10785","0.201","0","3.0373e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","807","11028","3.213","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","807","11028","1.18","0","0.0000024363","pagerankDynamic"
"email-Eu-core-temporal","332335","1","808","11259","3.261","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","808","11259","0.201","0","4.3676e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","814","11501","3.24","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","814","11501","0.203","0","3.3271e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","816","11702","3.237","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","816","11702","0.201","0","3.3877e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","817","11935","3.009","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","817","11935","0.2","0","4.4503e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","817","12113","3.007","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","817","12113","0.201","0","4.4814e-7","pagerankDynamic"
