graph,order,size,batch_size,technique,time,iterations,error
"email-Eu-core-temporal","986","24928","1","pagerankStatic","3.2386899999999987","0","0"
"email-Eu-core-temporal","986","24928","1","pagerankDynamic","0.24529000000000015","0","3.989700000000002e-7"
"email-Eu-core-temporal","986","24928","5","pagerankStatic","3.272800000000001","0","0"
"email-Eu-core-temporal","986","24928","5","pagerankDynamic","0.5643500000000005","0","6.943246999999998e-7"
"email-Eu-core-temporal","986","24928","10","pagerankStatic","3.257339999999999","0","0"
"email-Eu-core-temporal","986","24928","10","pagerankDynamic","0.7299500000000002","0","7.954449999999996e-7"
"email-Eu-core-temporal","986","24928","50","pagerankStatic","3.2623799999999994","0","0"
"email-Eu-core-temporal","986","24928","50","pagerankDynamic","1.3771399999999998","0","0.0000012862971999999997"
"email-Eu-core-temporal","986","24928","100","pagerankStatic","3.256079999999999","0","0"
"email-Eu-core-temporal","986","24928","100","pagerankDynamic","1.6265799999999997","0","0.0000013744511"
"email-Eu-core-temporal","986","24928","500","pagerankStatic","3.2573000000000003","0","0"
"email-Eu-core-temporal","986","24928","500","pagerankDynamic","2.045310000000001","0","0.0000013959898999999998"
"email-Eu-core-temporal","986","24928","1000","pagerankStatic","3.258849999999999","0","0"
"email-Eu-core-temporal","986","24928","1000","pagerankDynamic","2.2245700000000004","0","0.0000013943230000000004"
"CollegeMsg","1898","20269","1","pagerankStatic","5.130590000000001","0","0"
"CollegeMsg","1898","20269","1","pagerankDynamic","0.5184599999999999","0","3.5131068000000007e-7"
"CollegeMsg","1898","20269","5","pagerankStatic","4.7476899999999995","0","0"
"CollegeMsg","1898","20269","5","pagerankDynamic","1.0620799999999997","0","7.350655200000001e-7"
"CollegeMsg","1898","20269","10","pagerankStatic","4.742189999999999","0","0"
"CollegeMsg","1898","20269","10","pagerankDynamic","1.29374","0","8.121569e-7"
"CollegeMsg","1898","20269","50","pagerankStatic","4.740420000000002","0","0"
"CollegeMsg","1898","20269","50","pagerankDynamic","1.9288999999999998","0","0.0000010620927700000004"
"CollegeMsg","1898","20269","100","pagerankStatic","4.740950000000001","0","0"
"CollegeMsg","1898","20269","100","pagerankDynamic","2.2664400000000002","0","0.0000010962338200000003"
"CollegeMsg","1898","20269","500","pagerankStatic","4.737469999999999","0","0"
"CollegeMsg","1898","20269","500","pagerankDynamic","2.9650000000000016","0","0.000001152772096"
